measDate,TI,HI02,CI
2023-04-22 00:00:00,14.33,93.5,419.83
2023-04-22 01:00:00,14.17,93.33,431.33
2023-04-22 02:00:00,14.67,93.83,440.5
2023-04-22 03:00:00,15.0,95.17,447.5
2023-04-22 04:00:00,15.0,95.67,455.33
2023-04-22 05:00:00,14.5,95.83,465.17
2023-04-22 06:00:00,14.0,94.5,474.83
2023-04-22 07:00:00,15.17,63.67,405.33
2023-04-22 08:00:00,18.17,40.0,337.17
2023-04-22 09:00:00,22.0,32.0,303.17
2023-04-22 10:00:00,24.67,31.0,301.67
2023-04-22 11:00:00,26.33,25.33,290.83
2023-04-22 12:00:00,27.33,23.17,280.67
2023-04-22 13:00:00,28.5,23.83,277.67
2023-04-22 14:00:00,28.17,27.67,275.33
2023-04-22 15:00:00,27.0,31.17,280.17
2023-04-22 16:00:00,23.33,37.17,286.0
2023-04-22 17:00:00,21.17,41.0,305.83
2023-04-22 18:00:00,19.5,42.0,325.17
2023-04-22 19:00:00,17.5,55.0,349.83
2023-04-22 20:00:00,16.0,72.17,364.67
2023-04-22 21:00:00,14.5,83.83,389.17
2023-04-22 22:00:00,13.17,87.33,408.0
2023-04-22 23:00:00,12.5,88.33,422.17
2023-04-23 00:00:00,12.83,90.0,430.67
2023-04-23 01:00:00,12.67,91.17,438.33
2023-04-23 02:00:00,13.0,92.67,446.17
2023-04-23 03:00:00,13.0,92.67,454.5
2023-04-23 04:00:00,13.0,93.67,463.33
2023-04-23 05:00:00,13.0,94.17,473.17
2023-04-23 06:00:00,15.0,88.67,475.67
2023-04-23 07:00:00,15.33,66.17,396.33
2023-04-23 08:00:00,16.83,45.33,345.33
2023-04-23 09:00:00,17.5,41.67,332.33
2023-04-23 10:00:00,19.33,40.0,324.5
2023-04-23 11:00:00,22.5,37.0,314.33
2023-04-23 12:00:00,25.17,32.67,297.5
2023-04-23 13:00:00,24.5,32.17,290.83
2023-04-23 14:00:00,22.83,34.67,293.5
2023-04-23 15:00:00,22.17,34.5,297.5
2023-04-23 16:00:00,20.67,41.17,309.67
2023-04-23 17:00:00,18.33,44.17,326.67
2023-04-23 18:00:00,17.17,48.0,338.5
2023-04-23 19:00:00,16.33,63.33,355.33
2023-04-23 20:00:00,15.5,75.67,366.17
2023-04-23 21:00:00,15.0,84.33,378.83
2023-04-23 22:00:00,15.0,89.67,399.67
2023-04-23 23:00:00,14.83,92.0,418.67
2023-04-24 00:00:00,14.0,93.0,431.17
2023-04-24 01:00:00,14.0,93.83,443.0
2023-04-24 02:00:00,13.67,94.33,455.83
2023-04-24 03:00:00,13.0,94.83,468.83
2023-04-24 04:00:00,13.0,95.33,482.17
2023-04-24 05:00:00,13.0,95.67,495.5
2023-04-24 06:00:00,13.17,95.5,505.83
2023-04-24 07:00:00,14.5,88.67,479.17
2023-04-24 08:00:00,16.0,71.17,405.5
2023-04-24 09:00:00,19.33,59.0,368.67
2023-04-24 10:00:00,20.17,54.0,341.83
2023-04-24 11:00:00,22.67,49.5,326.0
2023-04-24 12:00:00,22.33,46.33,315.5
2023-04-24 13:00:00,23.17,45.83,307.5
2023-04-24 14:00:00,23.33,43.83,299.67
2023-04-24 15:00:00,20.5,51.0,311.5
2023-04-24 16:00:00,19.33,49.67,314.17
2023-04-24 17:00:00,16.67,53.83,327.33
2023-04-24 18:00:00,15.83,56.83,346.67
2023-04-24 19:00:00,15.0,72.0,365.0
2023-04-24 20:00:00,13.33,86.17,378.67
2023-04-24 21:00:00,13.0,90.17,392.17
2023-04-24 22:00:00,13.0,91.67,410.5
2023-04-24 23:00:00,12.5,92.5,429.0
2023-04-25 00:00:00,12.0,92.0,440.0
2023-04-25 01:00:00,11.5,92.33,452.17
2023-04-25 02:00:00,12.0,93.5,460.33
2023-04-25 03:00:00,12.0,94.83,467.67
2023-04-25 04:00:00,12.0,95.17,477.67
2023-04-25 05:00:00,12.0,95.5,487.83
2023-04-25 06:00:00,13.17,91.0,494.33
2023-04-25 07:00:00,14.67,82.5,457.17
